"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:00","10:00","0.58","17:06","--","91","92","--","--","--","--","--","--","120","--","--","0.78","--","--","35","--","15:32","125","10:00","17:07"
"2","14:21","24:21","1.00","14:22","--","134","141","--","--","--","--","--","--","164","--","--","0.68","--","--","121","--","12:53","169","14:21","14:21"
"3","14:48","39:09","1.00","14:48","--","146","151","--","3","--","--","--","--","165","--","--","0.66","--","--","139","--","14:18","169","14:48","14:48"
"4","0:51.0","40:00","0.06","14:42","--","151","151","--","--","--","--","--","--","166","--","--","0.66","--","--","8","--","14:36","168","0:51.0","14:43"
"5","10:30","50:30","0.54","19:30","--","116","151","3","--","--","--","--","--","115","--","--","0.72","--","--","34","--","14:36","168","10:29","19:28"
"Summary","50:30","50:30","3.18","15:52","","125","151","3","3","","","","","146","","","0.70","","","337","","12:53","169","50:29","15:52"
