"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:00","5:00","0.30","16:56","--","94","97","--","--","--","--","--","--","118","--","--","0.81","--","--","19","--","16:14","129","4:58","16:49"
"2","13:19","18:19","1.00","13:19","--","141","154","--","--","--","--","--","--","167","--","--","0.72","--","--","122","--","12:14","171","13:19","13:19"
"3","13:59","32:18","1.00","13:59","--","149","154","--","3","--","--","--","--","166","--","--","0.69","--","--","136","--","13:37","169","13:59","13:59"
"4","14:20","46:38","1.00","14:20","--","154","161","3","--","--","--","--","--","166","--","--","0.68","--","--","143","--","12:47","170","14:20","14:20"
"5","3:21.7","50:00","0.23","14:19","--","156","163","--","--","--","--","--","--","166","--","--","0.68","--","--","33","--","13:49","169","3:21.7","14:19"
"6","5:01.7","55:02","0.25","20:17","--","120","155","--","--","--","--","--","--","111","--","--","0.71","--","--","14","--","14:18","166","5:01.7","20:17"
"Summary","55:02","55:02","3.78","14:34","","141","163","3","3","","","","","157","","","0.71","","","467","","12:14","171","54:59","14:33"
