"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:00","10:00","0.57","17:33","--","96","106","--","--","--","--","--","--","119","--","--","0.77","--","--","40","--","15:48","126","9:54","17:23"
"2","13:51","23:51","1.00","13:51","--","140","152","3","--","--","--","--","--","167","--","--","0.70","--","--","126","--","11:56","169","13:51","13:51"
"3","14:12","38:03","1.00","14:12","--","151","158","--","--","--","--","--","--","167","--","--","0.68","--","--","141","--","13:26","171","14:12","14:12"
"4","1:57.2","40:00","0.13","14:58","--","156","160","--","--","--","--","--","--","158","--","--","0.68","--","--","20","--","13:49","171","1:57","14:56"
"5","5:00","45:00","0.27","18:13","--","120","147","--","--","--","--","--","--","117","--","--","0.76","--","--","16","--","17:44","121","5:00","18:13"
"Summary","45:00","45:00","2.97","15:08","","132","160","3","","","","","","151","","","0.71","","","343","","11:56","171","44:54","15:06"
