"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:00","10:00","0.57","17:37","--","97","106","--","--","--","--","--","--","119","--","--","0.77","--","--","41","--","16:09","126","10:00","17:36"
"2","13:51","23:51","1.00","13:51","--","138","151","--","--","--","--","--","--","166","--","--","0.70","--","--","123","--","11:11","173","13:51","13:51"
"3","14:47","38:38","1.00","14:47","--","147","155","2","--","--","--","--","--","166","--","--","0.66","--","--","140","--","13:45","169","14:47","14:47"
"4","15:02","53:40","1.00","15:02","--","150","161","--","3","--","--","--","--","162","--","--","0.66","--","--","141","--","13:11","169","15:00","15:00"
"5","15:18","1:08:58","1.00","15:18","--","148","160","3","--","--","--","--","--","157","--","--","0.67","--","--","128","--","13:30","174","15:16","15:16"
"6","15:08","1:24:07","1.00","15:08","--","148","161","--","1","--","--","--","--","161","--","--","0.66","--","--","121","--","13:15","171","15:08","15:08"
"7","5:53.3","1:30:00","0.38","15:21","--","150","164","--","--","--","--","--","--","158","--","--","0.66","--","--","47","--","13:11","171","5:53.3","15:21"
"8","10:00","1:40:00","0.49","20:29","--","118","161","--","--","--","--","--","--","113","--","--","0.69","--","--","22","--","13:57","169","10:00","20:29"
"9","0:01.1","1:40:01","0.00","7:45","--","109","109","--","--","--","--","--","--","109","--","--","1.90","--","--","0","--","19:42","109","0:01","6:48"
"Summary","1:40:01","1:40:01","6.44","15:31","","139","164","5","4","","","","","153","","","0.68","","","763","","11:11","174","1:39:56","15:31"
