"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:00","10:00","0.56","17:44","--","100","119","--","--","--","--","--","--","118","--","--","0.77","--","--","44","--","16:37","123","9:59","17:42"
"2","14:05","24:05","1.00","14:05","--","143","151","--","3","--","--","--","--","166","--","--","0.69","--","--","134","--","12:23","169","14:05","14:05"
"3","14:46","38:51","1.00","14:46","--","148","153","--","--","--","--","--","--","166","--","--","0.66","--","--","142","--","13:00","169","14:46","14:46"
"4","1:09.0","40:00","0.08","14:03","--","151","156","3","--","--","--","--","--","165","--","--","0.69","--","--","11","--","14:10","168","1:08","13:51"
"5","10:12","50:12","0.49","20:36","--","113","153","--","--","--","--","--","--","110","--","--","0.71","--","--","26","--","14:10","166","10:12","20:36"
"Summary","50:12","50:12","3.14","15:59","","130","156","3","3","","","","","145","","","0.70","","","357","","12:23","169","50:09","15:58"
